src,dst,st,et,p,sp,dp,ct,ir
172.28.131.186,70.98.1.1,1257259918801055,1257259919933003,19,42146,25,abortive,
70.98.1.1,172.28.131.186,1257259918812730,1257259918812887,2,33191,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259919843548,1257259920926705,19,33464,25,abortive,
70.98.1.1,172.28.131.186,1257259919845973,1257259919846121,2,37569,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259924978624,1257259925999731,19,52222,25,abortive,
70.98.1.1,172.28.131.186,1257259924980987,1257259924981136,2,44877,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259927019473,1257259928051245,19,48208,25,abortive,
70.98.1.1,172.28.131.186,1257259927021896,1257259927022053,2,34983,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259928042378,1257259929135424,19,56154,25,abortive,
70.98.1.1,172.28.131.186,1257259928044701,1257259928044859,2,59400,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259932182375,1257259933211137,19,48085,25,abortive,
70.98.1.1,172.28.131.186,1257259932185459,1257259932185611,2,35796,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259934241950,1257259935278809,19,57813,25,abortive,
70.98.1.1,172.28.131.186,1257259934244293,1257259934244445,2,57899,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259935273640,1257259936323082,19,56033,25,abortive,
70.98.1.1,172.28.131.186,1257259935276212,1257259935276389,2,58886,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259945618941,1257259949758535,21,42273,25,abortive,
70.98.1.1,172.28.131.186,1257259945621679,1257259945621829,2,41701,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259950539090,1257259951561101,19,41730,25,abortive,
70.98.1.1,172.28.131.186,1257259950541582,1257259950541732,2,59125,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259956811485,1257259957932192,19,48793,25,abortive,
70.98.1.1,172.28.131.186,1257259956813917,1257259956814070,2,39358,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259958943286,1257259960010847,19,55416,25,abortive,
70.98.1.1,172.28.131.186,1257259958945604,1257259958945754,2,57903,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259963064594,1257259964179229,19,57137,25,abortive,
70.98.1.1,172.28.131.186,1257259963067439,1257259963067629,2,60708,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259966159893,1257259967183858,19,35895,25,abortive,
70.98.1.1,172.28.131.186,1257259966162314,1257259966162477,2,34145,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259968200756,1257259969224962,19,57288,25,abortive,
70.98.1.1,172.28.131.186,1257259968203325,1257259968203525,2,51318,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257259969222907,1257259970393237,19,37608,25,abortive,
70.98.1.1,172.28.131.186,1257259969225419,1257259969225570,2,55046,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263584788204,1257263585807528,19,47147,25,abortive,
70.98.1.1,172.28.131.186,1257263584790821,1257263584790976,2,44333,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263586838167,1257263587880490,19,47775,25,abortive,
70.98.1.1,172.28.131.186,1257263586840562,1257263586840712,2,39879,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263591979873,1257263593063724,19,51388,25,abortive,
70.98.1.1,172.28.131.186,1257263591982301,1257263591982449,2,33382,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263598786642,1257263599839847,19,46824,25,abortive,
70.98.1.1,172.28.131.186,1257263598789427,1257263598789615,2,37037,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263603978683,1257263605100262,19,52208,25,abortive,
70.98.1.1,172.28.131.186,1257263603981136,1257263603981293,2,55825,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263605013864,1257263606087452,19,59241,25,abortive,
70.98.1.1,172.28.131.186,1257263605016229,1257263605016376,2,50670,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263607080283,1257263608218025,19,57036,25,abortive,
70.98.1.1,172.28.131.186,1257263607082870,1257263607083083,2,44090,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263608124936,1257263609267080,19,48339,25,abortive,
70.98.1.1,172.28.131.186,1257263608127356,1257263608127518,2,42186,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263621603154,1257263622658469,19,45276,25,abortive,
70.98.1.1,172.28.131.186,1257263621605513,1257263621605664,2,58761,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263628912636,1257263629981399,19,49550,25,abortive,
70.98.1.1,172.28.131.186,1257263628915634,1257263628915814,2,46952,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263631014726,1257263632086454,19,52688,25,abortive,
70.98.1.1,172.28.131.186,1257263631017164,1257263631017322,2,55993,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263632047740,1257263633120228,19,53169,25,abortive,
70.98.1.1,172.28.131.186,1257263632050096,1257263632050248,2,40324,113,invalid,rst_during_handshake
172.28.131.186,70.98.1.1,1257263633091641,1257263634171650,19,37911,25,abortive,
