src,dst,st,et,p,sp,dp,ct,ir
,,1257254999579764,1257255042841047,4,,,,
,,1257255123583826,1257255125103277,2,,,abortive,
,,1257255123583829,1257255125103276,2,,,abortive,
,,1257255153576730,1257255154586142,2,,,,
,,1257255209608343,1257255210876730,2,,,,
,,1257255209608346,1257255210876716,2,,,,
,,1257255209608350,1257255210876703,2,,,,
,,1257255209608353,1257255210876689,2,,,,
,,1257255209608355,1257255210876675,2,,,,
,,1257255209608358,1257255210876566,2,,,,
,,1257255209608378,1257255210876562,2,,,,
,,1257255209608382,1257255210876559,2,,,,
,,1257255209608383,1257255210876558,2,,,,
,,1257255209608387,1257255210876555,2,,,,
,,1257255211136543,1257255211396586,2,,,,
,,1257255211136546,1257255211396576,2,,,,
,,1257255211136549,1257255211396572,2,,,,
,,1257255211136552,1257255211396571,2,,,,
,,1257255211136554,1257255211396568,2,,,,
,,1257255211136557,1257255211396566,2,,,,
,,1257255211136581,1257255211396563,2,,,,
,,1257255211136584,1257255211396549,2,,,,
,,1257255211136587,1257255211396546,2,,,,
,,1257255211136590,1257255211396542,2,,,,
,,1257255211656555,1257255211916608,2,,,,
,,1257255211656558,1257255211916606,2,,,,
,,1257255211656562,1257255211916603,2,,,,
,,1257255211656564,1257255211916600,2,,,,
,,1257255211656568,1257255211916577,2,,,,
,,1257255211656569,1257255211916576,2,,,,
,,1257255211656592,1257255211916572,2,,,,
,,1257255211656595,1257255211916571,2,,,,
,,1257255211656598,1257255211916567,2,,,,
,,1257255211656602,1257255211916563,2,,,,
,,1257255212176725,1257255212436625,2,,,,
,,1257255212176739,1257255212436623,2,,,,
,,1257255212176752,1257255212436620,2,,,,
,,1257255212176766,1257255212436616,2,,,,
,,1257255212176779,1257255212436594,2,,,,
,,1257255212176783,1257255212436591,2,,,,
,,1257255212176796,1257255212436587,2,,,,
,,1257255212176809,1257255212436586,2,,,,
,,1257255212176823,1257255212436582,2,,,,
,,1257255212176835,1257255212436578,2,,,,
,,1257255212696585,1257255212956642,2,,,,
,,1257255212696588,1257255212956639,2,,,,
,,1257255212696592,1257255212956636,2,,,,
,,1257255212696593,1257255212956632,2,,,,
,,1257255212696597,1257255212956606,2,,,,
,,1257255212696599,1257255212956605,2,,,,
,,1257255212696626,1257255212956601,2,,,,
,,1257255212696630,1257255212956600,2,,,,
,,1257255212696632,1257255212956596,2,,,,
,,1257255212696635,1257255212956593,2,,,,
,,1257255213216602,1257255213476664,2,,,,
,,1257255213216606,1257255213476661,2,,,,
,,1257255213216609,1257255213476659,2,,,,
,,1257255213216616,1257255213476655,2,,,,
,,1257255213216617,1257255213476627,2,,,,
,,1257255213216618,1257255213476625,2,,,,
,,1257255213216639,1257255213476623,2,,,,
,,1257255213216642,1257255213476620,2,,,,
,,1257255213216646,1257255213476618,2,,,,
,,1257255213216647,1257255213476614,2,,,,
,,1257255213736620,1257255213996674,2,,,,
,,1257255213736624,1257255213996671,2,,,,
,,1257255213736627,1257255213996669,2,,,,
,,1257255213736629,1257255213996665,2,,,,
,,1257255213736632,1257255213996643,2,,,,
